"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"261",0,1,0,0,1,0,1,1,1,1
"262",1,1,1,1,1,1,0,1,1,1
"263",0,0,1,1,0,1,1,0,0,0
"264",0,0,1,1,0,1,0,1,0,1
"265",0,0,0,0,0,0,1,1,1,1
"266",1,1,0,0,1,0,0,0,0,0
"267",0,0,1,0,1,0,1,0,0,1
"268",1,1,0,1,1,1,1,1,0,1
"269",1,0,0,0,1,0,1,1,0,0
"270",1,1,0,0,0,1,1,0,0,0
"271",1,1,1,0,1,1,1,0,0,0
"272",1,1,0,1,0,0,1,1,0,0
"273",1,1,0,1,1,0,0,0,0,1
"274",1,1,1,0,0,0,1,0,0,0
"275",0,1,0,1,1,0,0,0,0,1
"276",1,0,0,0,1,0,1,0,1,1
"277",1,0,0,0,1,1,0,1,0,0
"278",0,0,0,0,1,1,0,0,0,1
"279",1,0,0,0,1,0,0,0,1,0
"280",0,1,1,1,1,0,0,1,0,0
"281",0,1,1,1,0,0,1,1,1,0
"282",1,0,1,0,0,1,1,0,0,1
"283",0,1,1,0,0,0,1,1,0,1
"284",1,0,0,0,1,1,0,0,1,1
"285",0,0,0,0,0,1,1,1,1,0
"286",1,1,0,1,1,0,0,1,1,1
"287",0,1,1,0,1,0,0,1,1,1
"288",0,0,0,0,1,0,0,0,1,0
"289",0,0,0,1,0,0,1,0,1,1
"290",0,1,1,1,1,1,0,1,1,0
"291",1,0,1,1,1,1,1,0,1,1
"292",0,1,0,1,1,0,1,1,0,0
"293",1,0,0,1,1,0,0,0,1,1
"294",1,1,0,1,0,1,0,1,1,1
"295",0,1,0,1,1,0,1,1,0,1
"296",0,1,1,1,0,0,0,0,0,0
"297",1,1,0,1,0,1,1,0,0,0
"298",0,1,0,0,0,0,0,1,1,1
"299",1,0,1,1,0,0,1,0,1,1
"300",1,1,1,0,0,1,1,1,1,1
"301",0,1,1,0,1,0,0,1,1,0
"302",0,0,1,0,1,1,0,1,1,0
"303",0,1,0,1,0,1,1,1,1,0
"304",1,0,1,1,0,1,0,1,1,0
"305",1,1,0,0,1,0,1,1,1,0
"306",0,0,0,0,1,0,1,0,0,1
"307",1,0,0,0,1,0,0,1,1,0
"308",1,0,0,0,0,0,1,0,0,1
"309",0,0,1,0,1,0,0,0,0,1
"310",1,1,1,1,1,0,1,0,0,1
"311",0,0,0,0,0,1,1,0,1,1
"312",1,1,1,0,0,1,0,0,0,0
"313",1,0,0,1,1,1,1,1,1,1
"314",1,0,1,0,0,0,0,0,0,1
"315",0,0,1,0,1,0,0,0,0,0
"316",0,1,0,0,1,1,0,1,1,0
"317",0,0,1,1,1,0,0,0,0,0
"318",0,1,1,0,0,0,0,0,1,1
"319",0,0,0,0,0,0,0,1,1,1
"320",0,0,0,0,1,0,1,0,0,1
"321",1,0,1,0,1,0,1,0,1,0
"322",0,0,0,0,1,1,1,0,0,0
"323",1,0,0,0,1,0,0,0,1,0
"324",1,0,0,1,1,0,1,1,1,0
"325",0,1,0,1,1,0,0,0,1,1
"326",1,0,0,0,1,1,0,1,1,0
"327",0,1,0,1,1,0,1,0,1,0
"328",0,1,1,1,1,0,0,0,1,1
"329",0,1,0,0,0,0,0,0,1,0
"330",0,0,0,0,1,0,0,0,0,1
"331",1,1,1,1,1,1,1,0,0,0
"332",1,1,0,0,0,1,0,1,0,0
"333",0,0,0,0,1,0,1,1,1,1
"334",0,0,1,1,0,1,1,0,0,0
"335",0,1,0,0,1,1,0,0,1,1
"336",0,1,1,0,1,0,0,1,1,0
"337",1,0,1,0,0,1,1,1,0,0
"338",1,1,1,1,0,1,1,1,0,1
"339",0,1,0,0,0,1,0,0,0,0
"340",0,0,1,1,1,0,0,1,1,0
"341",0,1,1,0,0,0,1,1,0,1
"342",0,1,0,1,0,0,1,1,0,1
"343",1,0,1,1,1,0,0,0,1,0
"344",0,1,1,1,1,1,0,1,0,0
"345",1,0,1,1,0,0,0,0,0,0
"346",0,1,1,1,0,0,0,1,1,1
"347",0,1,0,1,1,0,1,0,0,1
"348",1,1,0,0,0,0,1,0,1,1
"349",0,0,0,1,0,0,0,0,0,0
"350",1,0,0,1,0,1,0,0,1,0
"351",0,1,1,0,0,1,0,1,1,0
"352",0,1,0,0,0,1,0,1,1,0
"353",0,0,1,0,0,0,0,1,1,0
"354",0,1,0,0,1,0,1,0,0,1
"355",0,1,1,0,1,0,1,0,0,1
"356",0,1,1,1,1,1,0,0,1,0
"357",0,0,0,0,0,1,0,0,0,1
"358",0,0,0,0,0,1,1,0,1,0
"359",1,0,0,0,0,1,0,1,1,1
"360",0,1,0,1,0,0,0,1,1,0
"361",1,1,0,1,1,0,1,0,0,0
"362",1,0,1,1,0,1,0,0,1,0
"363",0,1,1,1,1,0,0,0,1,0
"364",1,1,1,1,0,0,1,1,0,0
"365",1,0,0,1,0,1,1,0,1,0
"366",1,1,0,1,0,0,0,1,1,1
"367",1,0,0,1,0,0,0,1,0,1
"368",1,1,0,0,0,1,1,0,0,0
"369",1,1,1,1,0,0,1,1,0,0
"370",1,1,1,0,1,1,0,1,1,0
"371",0,0,1,1,1,1,0,0,1,0
"372",0,0,0,0,1,1,1,0,0,0
"373",0,1,0,0,1,1,0,0,0,0
"374",1,0,1,1,1,1,1,0,0,1
"375",1,0,0,1,1,1,0,1,1,1
"376",0,0,1,1,0,0,1,1,1,1
"377",1,0,0,1,1,1,1,0,0,1
"378",0,1,1,0,1,1,1,0,1,1
"379",1,0,1,0,0,0,1,1,1,1
"380",1,1,1,0,0,0,1,0,0,0
"381",0,1,0,1,1,1,1,1,0,1
"382",0,1,1,1,1,1,1,1,0,1
"383",1,1,0,0,0,1,1,1,0,0
"384",1,1,0,1,0,0,0,1,1,1
"385",1,0,0,1,1,1,1,1,0,1
"386",1,0,1,1,1,1,1,1,1,1
"387",1,0,0,0,0,0,1,1,0,0
"388",1,0,0,0,0,1,1,0,1,0
"389",1,0,0,1,1,1,1,0,0,0
"390",0,1,1,1,0,1,0,0,1,0
"391",0,1,0,0,0,1,1,1,1,1
"392",0,0,1,0,0,1,0,0,0,1
"393",1,1,1,1,1,1,0,0,1,1
"394",1,1,0,0,0,1,0,0,1,0
"395",0,0,1,1,0,0,1,0,0,1
"396",0,1,1,1,0,1,1,1,0,1
"397",1,0,1,0,1,1,0,1,0,1
"398",1,1,1,1,0,0,0,1,1,1
"399",1,0,0,1,1,0,1,1,1,1
"400",0,0,0,1,1,0,0,0,1,0
"401",0,1,0,0,1,0,0,0,1,0
"402",0,0,1,0,0,1,0,0,1,0
"403",1,0,1,1,0,0,1,1,0,1
"404",1,0,1,1,1,1,0,0,1,0
"405",1,1,0,1,0,1,0,0,1,0
"406",0,0,1,1,1,0,1,1,1,0
"407",1,0,0,0,1,1,1,1,0,0
"408",1,0,1,1,1,1,1,0,0,1
"409",0,0,1,0,0,1,0,1,1,0
"410",1,1,1,0,1,1,0,0,1,1
"411",0,0,1,0,1,0,0,0,0,0
"412",1,1,1,0,0,0,0,0,1,1
"413",0,1,1,0,0,1,0,1,0,1
"414",0,0,0,0,0,0,1,1,0,0
"415",1,0,0,1,1,1,1,0,0,1
"416",1,0,1,0,0,0,1,0,0,1
"417",0,1,0,1,0,1,1,0,1,1
"418",1,1,1,0,0,1,0,0,0,1
"419",0,0,1,0,0,1,0,0,0,1
"420",1,1,1,1,0,1,1,0,0,1
"421",0,1,1,0,0,1,0,0,0,1
"422",1,1,0,1,1,1,0,1,1,1
"423",0,1,1,1,0,0,0,0,0,0
"424",0,0,0,1,0,1,0,0,0,1
"425",0,0,1,0,0,0,1,1,1,1
"426",1,0,0,0,0,0,0,0,0,1
"427",1,1,0,1,1,1,1,1,0,0
"428",1,0,1,1,0,1,0,1,1,0
"429",0,0,0,1,0,0,1,0,0,1
"430",1,1,1,0,1,1,1,1,0,0
"431",0,0,1,1,0,1,1,0,1,0
"432",0,0,1,1,1,1,0,1,1,0
"433",0,1,1,1,1,0,0,0,1,0
"434",1,1,1,1,1,1,1,1,1,0
"435",0,1,0,1,0,1,1,0,1,0
"436",0,1,0,0,1,0,0,1,0,0
"437",1,1,1,1,1,1,1,0,0,0
"438",0,0,0,0,1,1,0,1,1,0
"439",0,1,1,0,0,1,1,1,1,1
"440",0,0,0,1,1,0,0,0,0,0
"441",1,1,1,1,0,0,1,0,1,1
"442",1,0,1,1,1,0,0,0,1,0
"443",0,1,0,1,0,0,0,1,0,0
"444",0,0,1,1,1,1,0,0,0,0
"445",1,0,1,0,1,1,0,1,1,1
"446",1,1,1,1,0,0,0,0,1,0
"447",0,1,1,1,0,1,0,1,1,1
"448",0,1,0,1,1,0,0,1,0,0
"449",1,0,0,0,1,0,1,0,0,0
"450",0,0,0,1,0,0,0,0,1,1
"451",1,0,1,0,1,0,1,0,1,1
"452",0,1,1,0,0,0,0,0,0,0
"453",1,0,0,1,1,1,1,0,1,0
"454",0,1,1,0,1,1,1,0,0,1
"455",0,1,0,1,1,1,0,0,0,1
"456",0,0,1,0,1,0,1,1,0,1
"457",1,1,0,0,0,1,0,0,0,1
"458",1,0,0,1,1,1,1,0,0,1
"459",1,0,0,0,0,0,0,1,0,0
"460",0,1,1,1,0,0,0,1,1,1
"461",1,0,1,0,0,1,1,0,1,1
"462",0,0,0,0,0,0,1,1,1,1
"463",1,1,0,1,1,1,1,1,1,0
"464",1,0,1,1,1,0,0,1,1,0
"465",0,0,1,1,1,0,1,1,1,0
"466",1,1,1,0,0,1,1,0,1,1
"467",1,0,1,1,0,1,1,1,1,1
"468",0,0,1,0,0,0,1,1,1,0
"469",1,0,1,1,0,1,1,1,0,0
"470",1,0,0,0,1,1,0,0,0,0
"471",1,0,0,0,0,0,1,1,1,0
"472",1,0,0,1,0,0,1,0,0,1
"473",0,0,0,1,1,1,1,0,0,0
"474",1,1,0,0,0,1,1,1,0,0
"475",0,1,0,1,1,1,0,0,1,1
"476",1,1,0,1,1,0,0,0,1,0
"477",1,1,1,0,1,0,1,0,1,0
"478",1,0,0,1,1,0,0,1,0,1
"479",1,0,1,0,0,0,0,0,1,1
"480",0,0,0,0,1,0,0,0,0,0
"481",0,1,1,1,0,0,1,1,0,1
"482",1,0,1,0,1,0,1,1,0,0
"483",0,1,1,0,1,0,1,1,1,1
"484",1,1,0,0,0,1,1,1,0,0
"485",0,1,1,0,1,1,1,0,0,0
"486",1,0,0,0,1,0,0,0,0,1
"487",0,0,1,0,1,1,1,0,1,0
"488",1,0,1,1,0,1,1,1,0,1
"489",0,1,1,1,0,0,1,0,1,0
"490",1,0,0,0,1,1,1,0,1,0
"491",1,1,1,0,1,0,0,1,1,0
"492",1,0,0,0,0,0,1,1,1,1
"493",1,0,1,0,0,1,0,0,0,0
"494",1,0,1,1,0,0,1,0,0,1
"495",1,0,0,0,1,0,0,0,1,1
"496",1,0,0,0,1,1,0,0,1,0
"497",1,1,0,0,0,1,0,1,1,0
"498",0,0,1,0,0,1,0,1,0,1
"499",0,1,1,0,0,0,0,0,1,0
"500",0,0,0,0,0,0,0,1,0,1
"501",1,1,0,1,0,1,1,1,0,1
"502",1,1,0,0,1,1,0,1,0,0
"503",1,0,1,0,1,0,0,0,1,0
"504",1,1,0,1,0,1,0,0,0,0
"505",1,0,1,1,0,0,0,0,0,0
"506",1,0,1,0,0,1,1,1,0,1
"507",0,1,0,0,1,1,0,0,0,1
"508",0,0,0,1,0,1,0,1,0,1
"509",1,1,0,1,0,0,1,0,1,0
"510",0,0,1,1,0,1,0,1,1,1
"511",1,0,1,1,1,1,1,0,0,0
"512",0,1,0,0,0,0,1,1,0,0
"513",1,1,1,0,1,1,1,1,1,0
"514",0,1,0,0,0,0,0,0,0,0
"515",1,1,0,0,0,0,0,0,1,0
"516",1,0,0,1,1,1,1,1,1,0
"517",0,1,0,1,0,0,1,1,1,1
"518",0,0,1,0,1,0,1,1,1,0
"519",1,0,1,1,1,1,1,1,0,0
"520",1,0,0,0,1,1,0,1,1,0
"521",1,0,0,0,0,0,1,1,0,1
"522",0,0,0,1,0,0,1,0,1,1
"523",1,1,0,1,0,1,1,1,1,1
"524",1,0,1,0,1,1,1,1,0,0
"525",0,1,1,1,0,0,0,1,0,0
"526",1,0,0,0,1,0,0,1,0,1
"527",0,0,0,0,0,1,0,1,1,0
"528",0,0,0,1,0,1,0,1,1,1
"529",1,0,0,0,0,0,0,1,0,0
"530",0,0,1,1,1,0,0,1,0,1
"531",1,0,1,1,0,1,1,0,1,0
"532",1,0,1,1,1,0,1,0,0,0
"533",0,0,0,0,1,1,0,1,1,1
"534",0,0,0,0,1,1,1,0,0,1
"535",1,1,0,1,1,0,1,1,0,0
"536",1,0,1,1,0,0,1,0,1,1
"537",0,0,1,1,0,1,1,1,0,1
"538",1,0,1,0,1,0,1,1,1,1
"539",1,0,0,1,1,0,0,1,1,0
"540",1,0,0,0,0,0,1,1,0,1
"541",0,0,0,1,1,1,0,1,0,0
"542",1,0,0,0,1,0,1,0,0,1
"543",0,0,1,1,1,0,0,1,0,0
"544",0,0,1,0,0,0,1,0,0,1
"545",1,1,0,1,0,1,1,1,0,1
"546",0,0,1,1,0,1,0,1,0,0
"547",0,1,1,0,1,0,1,0,1,1
"548",1,1,0,0,0,0,1,0,1,1
"549",0,0,0,1,1,0,1,0,1,0
"550",0,1,1,0,1,0,0,0,1,0
"551",0,0,0,1,1,0,0,0,0,0
"552",0,0,1,1,1,1,0,1,1,0
"553",0,0,0,1,0,1,1,1,0,1
"554",0,0,1,1,0,0,1,1,1,0
"555",1,0,0,1,0,0,0,0,1,0
"556",1,0,0,0,1,0,1,1,1,1
"557",1,1,1,0,1,1,0,1,1,0
"558",0,0,1,0,1,0,0,1,0,0
"559",0,1,1,1,1,1,0,0,0,0
"560",1,1,1,1,1,1,0,0,0,0
"561",0,0,0,0,1,0,0,1,0,0
"562",0,0,1,0,1,1,1,0,1,0
"563",1,1,0,1,1,0,0,1,1,1
"564",0,1,1,1,1,1,0,1,1,1
"565",1,1,1,1,1,1,0,1,1,0
"566",1,1,1,0,1,0,1,0,0,0
"567",0,1,0,0,1,1,1,0,0,0
"568",1,1,0,0,1,0,0,1,1,0
"569",0,1,1,1,1,1,1,1,1,0
"570",0,0,0,0,0,1,1,0,0,0
"571",0,0,1,0,1,1,1,1,0,0
"572",1,1,1,1,0,0,1,0,1,0
"573",0,0,0,0,1,0,1,0,1,1
"574",1,1,0,0,0,0,1,1,1,1
"575",1,0,0,1,1,0,0,1,0,1
"576",1,0,1,0,1,0,0,1,0,1
"577",1,0,0,0,0,0,1,1,0,0
"578",1,1,1,0,0,0,1,0,0,0
"579",1,1,1,0,1,1,0,0,0,0
"580",0,0,1,1,1,1,0,1,0,1
"581",1,0,1,0,1,1,1,0,0,1
"582",0,0,0,0,0,1,1,1,0,0
"583",0,1,1,1,0,0,0,1,1,1
"584",0,0,0,0,1,0,1,1,1,0
"585",0,1,0,1,1,0,0,0,1,1
"586",1,0,1,1,0,1,1,0,1,0
"587",0,1,0,1,1,0,1,1,0,0
"588",0,0,1,1,0,1,1,0,1,1
"589",0,1,1,0,0,1,1,1,0,0
"590",0,1,0,0,1,1,1,1,1,0
"591",0,0,0,1,0,1,0,1,0,0
"592",1,1,0,0,1,1,0,1,0,1
"593",1,1,1,0,1,1,1,0,1,1
"594",1,1,0,1,0,0,1,1,1,1
"595",0,1,0,0,0,0,0,0,0,1
"596",0,0,0,1,0,0,1,1,1,0
"597",1,1,1,1,0,1,0,0,1,0
"598",0,1,0,1,1,0,0,0,1,0
"599",0,0,1,1,1,0,1,0,0,0
"600",1,0,0,1,1,1,0,0,1,1
"601",0,1,0,0,0,1,1,0,0,0
"602",1,0,1,0,0,0,1,1,0,0
"603",1,0,1,0,1,1,1,1,1,1
"604",0,1,0,0,0,0,0,1,1,0
"605",1,1,1,1,0,1,1,0,1,1
